Model,Prompt Type,Run ID,Started At,Ended At,Total Hours,Accuracy,Precision,Recall,F1
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_falcon3:10b-instruct-q8_0_2024-12-25,2024-12-25 10:36:10.194411,2024-12-25 12:16:31.577562,1.6666666666666667,41.81818181818181,49.75575715282624,72.38578680203047,58.97435897435898
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,4096_max_MATCHING_PROMPT_ONLY_phi3.5:3.8b-mini-instruct-q8_0_2024-12-11,2024-12-11 19:10:21.288796,2024-12-12 00:35:50.914854,5.416666666666667,29.992378048780488,32.083163473298,82.15031315240083,46.144825564350626
qwen2.5:14b,MATCHING_PROMPT,4096_max_MATCHING_PROMPT_ONLY_qwen2.5:14b_2024-12-12,2024-12-12 09:22:21.597733,2024-12-12 10:59:45.905538,1.6166666666666667,48.431685273790535,52.05714285714286,87.42802303262955,65.25787965616045
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,4096_max_MATCHING_PROMPT_ONLY_gemma2:9b-instruct-q5_K_M_2024-12-13,2024-12-13 19:46:07.858433,2024-12-13 21:00:20.906704,1.2333333333333334,30.9618320610687,31.2192118226601,97.40634005763688,47.28374912567032
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi4:14b_2025-01-27,2025-01-27 17:46:27.066172,2025-01-27 22:01:39.755080,4.25,36.551215917464994,37.16747845635069,95.66055930568949,53.53480841878036
gemma2:9b-instruct-q5_K_M,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_gemma2:9b-instruct-q5_K_M_2024-12-14,2024-12-14 15:32:30.967656,2024-12-15 02:04:27.609600,10.533333333333333,73.68421052631578,77.33333333333333,93.98148148148148,84.84848484848484
phi3.5:3.8b-mini-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2024-12-17,2024-12-17 19:54:28.886722,2024-12-18 04:22:42.841598,8.466666666666667,46.098003629764065,59.41520467836258,67.28476821192054,63.1055900621118
falcon3:10b-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_falcon3:10b-instruct-q8_0_2024-12-24,2024-12-24 21:10:56.551070,2024-12-24 23:35:42.357527,2.4166666666666665,52.813067150635206,70.12048192771084,68.14988290398126,69.12114014251782
qwen2.5:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_qwen2.5:14b_2024-12-16,2024-12-16 09:07:42.253177,2024-12-16 14:48:09.077543,5.683333333333334,70.96188747731398,80.61855670103093,85.55798687089715,83.01486199575372
phi4:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi4:14b_2025-04-18,2025-04-18 10:55:43.529846,2025-04-19 05:33:24.614005,18.633333333333333,68.42105263157895,81.69014084507043,80.81457663451232,81.25
